GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
meeting-scheduler-backend,com.meetingscheduler.dto,CreateScheduleRequest.TimeFrame,126,0,22,0,5,0,21,0,10,0
meeting-scheduler-backend,com.meetingscheduler.dto,OptimizeScheduleRequest.AvailabilitySlot,126,0,22,0,5,0,21,0,10,0
meeting-scheduler-backend,com.meetingscheduler.dto,LoginRequest,115,0,22,0,3,0,20,0,9,0
meeting-scheduler-backend,com.meetingscheduler.dto,CreateMeetingWithParticipantsRequest,298,0,54,0,9,0,45,0,18,0
meeting-scheduler-backend,com.meetingscheduler.dto,UpdateMeetingRequest,277,0,54,0,7,0,44,0,17,0
meeting-scheduler-backend,com.meetingscheduler.dto,CreateMeetingRequest,236,0,46,0,6,0,38,0,15,0
meeting-scheduler-backend,com.meetingscheduler.dto,AuthResponse,237,0,46,0,6,0,38,0,15,0
meeting-scheduler-backend,com.meetingscheduler.dto,CreateScheduleRequest,76,0,14,0,2,0,14,0,7,0
meeting-scheduler-backend,com.meetingscheduler.dto,OptimizeScheduleRequest,117,0,22,0,3,0,20,0,9,0
meeting-scheduler-backend,com.meetingscheduler.dto,CreateAvailabilityRequest,117,0,22,0,3,0,20,0,9,0
meeting-scheduler-backend,com.meetingscheduler.dto,RegisterRequest,195,0,38,0,5,0,32,0,13,0
meeting-scheduler-backend,com.meetingscheduler.config,SecurityConfig,164,0,0,0,24,0,7,0,7,0
meeting-scheduler-backend,com.meetingscheduler.entity,AuthService,410,0,72,0,17,0,59,0,23,0
meeting-scheduler-backend,com.meetingscheduler.entity,CalendarIntegration,275,0,48,0,13,0,41,0,17,0
meeting-scheduler-backend,com.meetingscheduler.entity,Admin,95,0,16,0,8,0,17,0,9,0
meeting-scheduler-backend,com.meetingscheduler.entity,Notification,312,0,54,0,12,0,46,0,19,0
meeting-scheduler-backend,com.meetingscheduler.entity,Availability,245,17,46,0,6,4,35,5,12,5
meeting-scheduler-backend,com.meetingscheduler.entity,User.UserRole,27,0,0,0,2,0,1,0,1,0
meeting-scheduler-backend,com.meetingscheduler.entity,ManageMeetingRequest,315,0,56,0,14,0,47,0,19,0
meeting-scheduler-backend,com.meetingscheduler.entity,Executive,183,0,32,0,10,0,29,0,13,0
meeting-scheduler-backend,com.meetingscheduler.entity,Assists.Permissions,21,0,0,0,2,0,1,0,1,0
meeting-scheduler-backend,com.meetingscheduler.entity,Notification.NotificationType,27,0,0,0,2,0,1,0,1,0
meeting-scheduler-backend,com.meetingscheduler.entity,CalendarIntegration.CalendarType,21,0,0,0,2,0,1,0,1,0
meeting-scheduler-backend,com.meetingscheduler.entity,User,435,0,78,0,14,0,64,0,25,0
meeting-scheduler-backend,com.meetingscheduler.entity,Secretary,139,0,24,0,9,0,23,0,11,0
meeting-scheduler-backend,com.meetingscheduler.entity,Meeting,279,164,71,9,6,11,50,16,10,16
meeting-scheduler-backend,com.meetingscheduler.entity,Assists,433,0,78,0,12,0,63,0,24,0
meeting-scheduler-backend,com.meetingscheduler.entity,Schedule,349,0,62,0,12,0,52,0,21,0
meeting-scheduler-backend,com.meetingscheduler.entity,Participation.ResponseStatus,27,0,0,0,2,0,1,0,1,0
meeting-scheduler-backend,com.meetingscheduler.entity,Participation.ParticipationRole,21,0,0,0,2,0,1,0,1,0
meeting-scheduler-backend,com.meetingscheduler.entity,Participation,258,0,46,0,8,0,39,0,16,0
meeting-scheduler-backend,com.meetingscheduler.entity,AuthService.AuthType,21,0,0,0,2,0,1,0,1,0
meeting-scheduler-backend,com.meetingscheduler.entity,Meeting.MeetingStatus,0,27,0,0,0,2,0,1,0,1
meeting-scheduler-backend,com.meetingscheduler,MeetingSchedulerApplication,8,0,0,0,3,0,2,0,2,0
meeting-scheduler-backend,com.meetingscheduler.service,ScheduleService,910,0,26,0,153,0,22,0,9,0
meeting-scheduler-backend,com.meetingscheduler.service,AdminService,187,0,2,0,34,0,9,0,8,0
meeting-scheduler-backend,com.meetingscheduler.service,AuthService,154,0,12,0,34,0,15,0,9,0
meeting-scheduler-backend,com.meetingscheduler.service,NotificationService,164,0,8,0,33,0,14,0,10,0
meeting-scheduler-backend,com.meetingscheduler.service,AvailabilityService,110,0,10,0,24,0,12,0,7,0
meeting-scheduler-backend,com.meetingscheduler.service,MeetingService,445,0,44,0,98,0,37,0,15,0
meeting-scheduler-backend,com.meetingscheduler.controller,ScheduleController.UpdateScheduleRequest,24,0,0,0,7,0,7,0,7,0
meeting-scheduler-backend,com.meetingscheduler.controller,AvailabilityController,103,0,0,0,26,0,5,0,5,0
meeting-scheduler-backend,com.meetingscheduler.controller,AuthController,146,0,2,0,35,0,5,0,4,0
meeting-scheduler-backend,com.meetingscheduler.controller,NotificationController,101,0,0,0,25,0,7,0,7,0
meeting-scheduler-backend,com.meetingscheduler.controller,ExecutiveController,52,0,0,0,17,0,5,0,5,0
meeting-scheduler-backend,com.meetingscheduler.controller,AdminController,72,0,0,0,17,0,5,0,5,0
meeting-scheduler-backend,com.meetingscheduler.controller,ScheduleController,124,0,0,0,31,0,6,0,6,0
meeting-scheduler-backend,com.meetingscheduler.controller,ScheduleController.CustomScheduleRequest,24,0,0,0,7,0,7,0,7,0
meeting-scheduler-backend,com.meetingscheduler.controller,MeetingController,280,0,0,0,71,0,9,0,9,0
meeting-scheduler-backend,com.meetingscheduler.algorithm,WeightedPriorityAlgorithm,288,0,26,0,55,0,22,0,9,0
meeting-scheduler-backend,com.meetingscheduler.algorithm,ScheduleOptimizer.OccupiedSlot,111,15,22,0,2,3,18,3,7,3
meeting-scheduler-backend,com.meetingscheduler.algorithm,ScheduleOptimizer.ScheduledMeeting,178,27,32,0,2,5,25,5,9,5
meeting-scheduler-backend,com.meetingscheduler.algorithm,WeightedPriorityAlgorithm.OccupiedSlot,126,0,22,0,5,0,21,0,10,0
meeting-scheduler-backend,com.meetingscheduler.algorithm,ScheduleOptimizer.OptimizedScheduleResult,102,15,16,0,2,3,15,3,7,3
meeting-scheduler-backend,com.meetingscheduler.algorithm,WeightedPriorityAlgorithm.OptimizedScheduleResult,117,0,16,0,5,0,18,0,10,0
meeting-scheduler-backend,com.meetingscheduler.algorithm,WeightedPriorityAlgorithm.AvailabilitySlot,126,0,22,0,5,0,21,0,10,0
meeting-scheduler-backend,com.meetingscheduler.algorithm,ScheduleOptimizer,86,1292,28,46,13,183,19,28,0,10
meeting-scheduler-backend,com.meetingscheduler.algorithm,WeightedPriorityAlgorithm.ScheduledMeeting,205,0,32,0,7,0,30,0,14,0
